"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Population ages 55-59, male (% of male population)","SP.POP.5559.MA.5Y","2.72833327061303","2.9394452211022","3.17690578080801","3.40050377833753","3.56874395962344","3.65597522338115","3.64234894340023","3.56803546922833","3.45020645251592","3.34005984273885","3.26779285516477","3.20247933884297","3.1667237247518","3.14128990494361","3.12595458710926","3.10116929334011","3.07379134860051","3.0397930353678","3.00317742321227","2.98052903534887","2.97019562322898","2.99827218213233","3.05828816168105","3.14243274467734","3.26427917919226","3.42100123689864","3.5764490503122","3.82963256674597","4.17389563592686","4.52744765138653","4.81098535503441","4.64154843559147","4.43786105762109","4.2852761591435","4.23556715984915","4.27100161550888","4.33624208648041","4.38856487235873","4.42604830554314","4.47034831174249","4.54078956371017","4.65694509777569","4.80367585630743","4.96437054631829","5.13949136684528","5.30541892630428","5.57004276624596","5.82272170173871","6.05997803154339","6.28478040505596","6.51191581553699","6.68859198355601","6.87425835754327","7.07917769183798","7.29054861378319","7.51053491138577","7.7293812880294","7.94949777902277",
"Afghanistan","AFG","Population ages 55-59, male (% of male population)","SP.POP.5559.MA.5Y","2.63060031742024","2.58181295304795","2.53146359198089","2.48407982391891","2.44613208228712","2.42000140491272","2.39150628604838","2.37405231825146","2.36377003023704","2.35602023379924","2.34832459393334","2.32919041146653","2.31334361597759","2.30063412516042","2.29161868085754","2.28662336272094","2.26822297653228","2.25184336409259","2.23907133922681","2.23176082422037","2.23027960097124","2.21552444792163","2.19335750036457","2.15671875576305","2.09634727368978","2.00484207587802","1.9363554386827","1.8595305793407","1.77896148965796","1.70188403942573","1.63172498647089","1.66176089832114","1.70487962972228","1.75362373343728","1.80486685597593","1.85896013224013","1.86668162036642","1.87854065976652","1.89251932512985","1.90412911648025","1.90989806506084","1.89847038507451","1.88927477745037","1.8838935399393","1.8843363508887","1.89145151537722","1.89748428645825","1.90495331553629","1.91235398217999","1.91855101923739","1.92339454017559","1.91617205822622","1.9148014165975","1.92019856227249","1.93278054319006","1.95227326638729","1.97298876761742","1.99649457244204",
"Angola","AGO","Population ages 55-59, male (% of male population)","SP.POP.5559.MA.5Y","2.35791973053179","2.35442160742618","2.35001483179066","2.34588515884292","2.34500267236772","2.34788486900967","2.32764699655563","2.31363431227881","2.30457132510962","2.29752859234635","2.29067722275498","2.26987806298129","2.25231270060613","2.23706546795823","2.22401766791723","2.21258181950135","2.18487856973546","2.16207624209994","2.14314523521431","2.12703617626633","2.11294571971805","2.083088031545","2.05913839140262","2.04047917828784","2.02694888557622","2.01857201171341","1.99715005905536","1.97962325204963","1.96525395202768","1.95300490092834","1.94145538325919","1.91376169511078","1.89117616761194","1.87142897922902","1.85220668638364","1.83280909577268","1.80138774813776","1.77552435799895","1.75230050163602","1.72739094049078","1.69926249236949","1.65957768823871","1.61614420692422","1.58412547101091","1.58384193163814","1.62258191702111","1.68302768303556","1.77426132676453","1.87313961382913","1.95089053819993","1.99433889915537","2.00210065369326","1.98759307876827","1.96224480403469","1.94114734227268","1.93189865531803","1.92391570057678","1.92481338914884",
"Albania","ALB","Population ages 55-59, male (% of male population)","SP.POP.5559.MA.5Y","2.68071813515673","2.68327163502252","2.7254892097188","2.78849711039098","2.84790353290504","2.89058498104702","2.90651290254381","2.91621883739959","2.92019713771206","2.92109681029659","2.91959794456837","2.90719163188922","2.89627825787126","2.88258315046467","2.85906189606933","2.82388357153914","2.76285936972443","2.69069133062944","2.63012485061692","2.6145160084419","2.65960532689758","2.74771065592072","2.89100974907032","3.05792947739621","3.203133653546","3.30267929069605","3.35156552547439","3.36164815696163","3.35515478643544","3.36546942148464","3.41084957667837","3.52175729003639","3.66471341011652","3.82351277102677","3.96867358616084","4.07890486348067","4.09636687989058","4.10622880813976","4.12178910654353","4.15969831642957","4.23167468081789","4.30512533909215","4.38432113880448","4.47570144897773","4.59036635303157","4.73585629090005","4.8520654367055","4.99788015548168","5.17225041939871","5.36893726218204","5.58148834718838","5.79313956889339","6.03347338439797","6.29083145211739","6.54384667069355","6.77256148419878","6.8929113065699","6.97810890111822",
"Andorra","AND","Population ages 55-59, male (% of male population)","SP.POP.5559.MA.5Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Population ages 55-59, male (% of male population)","SP.POP.5559.MA.5Y","2.68983306312466","2.66712929500017","2.65131801737968","2.63968580027832","2.62786996898548","2.61296318271863","2.57506465889594","2.53676293775348","2.50033189925212","2.47035886364594","2.44993731545623","2.42713932654128","2.41346475091559","2.40539796884343","2.40115090704359","2.40114532256236","2.39234061089398","2.38842675660122","2.3890796170265","2.39542388493996","2.40800128167508","2.41090260060705","2.41794083772358","2.42474489383797","2.42783929513417","2.42680597877729","2.42065621590376","2.41267136828749","2.40114575631506","2.38532873079245","2.36101219306578","2.34152403672319","2.32626359265691","2.31164545826692","2.29782716044768","2.28226855295209","2.25623972521974","2.22999623976463","2.20854552127424","2.19929522376444","2.20637858282268","2.23769476860784","2.28239397793967","2.33872968112705","2.40613767675131","2.48312922263614","2.55125122032058","2.63208321591076","2.7173978968412","2.7976032873348","2.86832857355072","2.92557539301126","2.97603799069856","3.02446850710923","3.07919405507197","3.14485169083088","3.19974585305468","3.26574681944484",
"United Arab Emirates","ARE","Population ages 55-59, male (% of male population)","SP.POP.5559.MA.5Y","2.54767451894038","2.09134569389434","1.77813031910499","1.57203994293866","1.44676144148221","1.3747303893745","1.37648418619313","1.35582237843251","1.31734473829052","1.28238785072751","1.2825586777303","1.31870677388398","1.26766285946458","1.16384830991406","1.09308668180472","1.128883460454","1.12871059462376","1.19503340994536","1.26689090596791","1.29711436229952","1.28847471223651","1.32255045873941","1.32740393934424","1.31669051236878","1.31028840442718","1.3266382734258","1.33503952550544","1.35685518292232","1.39305281308229","1.44037992175521","1.49914301912886","1.49862488476419","1.45990438240067","1.40087926508288","1.35731951096596","1.3532453545584","1.43654691255461","1.52669934426557","1.59596580426594","1.62531746426971","1.62190263606141","1.66458117018539","1.70629093922499","1.74765074156186","1.78542963590525","1.81552863949574","1.69515183266474","1.603365535144","1.54101881958814","1.52109218299507","1.55538701765109","1.69109132292457","1.87824900814279","2.12349530564794","2.4162715759416","2.73376508632247","3.0294916143327","3.32861302183",
"Argentina","ARG","Population ages 55-59, male (% of male population)","SP.POP.5559.MA.5Y","4.37408616742798","4.39925827000993","4.41974158971226","4.43726047444492","4.45394455642171","4.47092389322604","4.46272166767574","4.45704730807662","4.45275632239002","4.44733708177953","4.43975639441373","4.40677255275253","4.37099889283342","4.34023378418365","4.32491589441925","4.32965342501549","4.3505336444799","4.3855204891938","4.4298338954784","4.47731350369678","4.52345394703617","4.52320228886118","4.53161497239415","4.53963967582224","4.53470119705744","4.51101573174892","4.46588197241263","4.40107792166593","4.32754256367584","4.25935032435252","4.20309331126511","4.13488186736664","4.07923431453038","4.03678560480261","4.00788901143203","3.99352970360127","3.98361155277961","3.98890890633698","4.00829839217101","4.04114186100105","4.08617727454307","4.12935995894353","4.18253623521888","4.24161131412247","4.30112231992391","4.35737073285111","4.3920786485702","4.42619782164076","4.45913189355515","4.49032864434153","4.51956070176469","4.53239399957637","4.54397212865711","4.55450944288334","4.56464596880661","4.57466326298243","4.56922454882368","4.56713684376088",
"Armenia","ARM","Population ages 55-59, male (% of male population)","SP.POP.5559.MA.5Y","2.98427133524769","2.9701786888185","2.94506073653796","2.91138800117295","2.87259527572377","2.82909850071375","2.77042673588743","2.72336845950334","2.66534841968449","2.56343233883857","2.40497144842049","2.21364961197589","1.97516432643557","1.73893924328376","1.57306975544236","1.51453493002988","1.53922743196727","1.65752752202738","1.88059055134297","2.2155060496082","2.64827820173111","3.11911481618664","3.67737360553726","4.23142820433137","4.65545516334","4.88515452952108","4.91509521165631","4.76402964216451","4.53557260139114","4.37902351150439","4.37080237997074","4.51092328151576","4.81228813303282","5.1654048757194","5.37603987912855","5.31799576644309","4.918596199841","4.25381349268753","3.47737550523556","2.83105677484369","2.46086004834415","2.37622531646807","2.55872892436811","2.93190867381582","3.35955296682548","3.74871243226894","4.08010754273623","4.35853501042675","4.59701308590569","4.84486379366441","5.1404166821406","5.46158670150004","5.84492116864347","6.23258021392345","6.5415156634188","6.72349645452158","6.77433193964734","6.72244886410217",
"American Samoa","ASM","Population ages 55-59, male (% of male population)","SP.POP.5559.MA.5Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
